cwc_station_id,linked_imd_station,district,lat,lon,danger_level_m
1,27,Karimganj,24.639412,90.572604,4.77
2,27,Nalbari,27.363336,91.187951,9.18
3,9,Jorhat,25.223034,91.090538,7.34
4,8,Sivasagar,26.332152,93.30904,4.39
5,20,Golaghat,24.915638,90.45931,4.36
6,30,Dibrugarh,27.592728,91.513133,9.16
7,49,Dhemaji,26.637471,90.217128,6.25
8,26,Karimganj,26.98172,91.595122,5.84
9,4,Morigaon,24.607843,92.778432,8.88
10,45,Dibrugarh,26.894579,91.557188,8.42
11,31,Karimganj,27.842617,93.428741,6.15
12,20,Tinsukia,27.064587,89.55871,5.69
13,21,Karimganj,27.398229,93.188095,7.92
14,30,Jorhat,26.515414,92.384422,4.39
15,20,Karimganj,24.821716,92.53461,4.21
16,42,Tinsukia,26.349154,90.966421,4.0
17,11,Nalbari,26.32938,90.472281,8.05
18,11,Lakhimpur,27.459262,90.053004,6.52
19,20,Dhemaji,24.663965,91.661812,7.62
20,15,Sivasagar,25.100529,89.612923,6.31
21,15,Kokrajhar,25.369175,90.091398,7.37
22,10,Darrang,27.500886,90.122149,7.03
23,33,Barpeta,26.970531,92.386866,7.13
24,46,Bongaigaon,26.532161,92.219967,7.5
25,26,Darrang,25.605602,89.71002,4.02
26,32,Karimganj,27.786971,91.942459,7.68
27,17,Barpeta,25.806033,90.438831,5.0
28,49,Morigaon,25.640427,93.485382,7.24
29,24,Golaghat,25.071219,92.187975,4.79
30,37,Barpeta,24.720303,93.422594,7.41
