event_id,year,district,start_date,end_date,peak_level_m,area_affected_km2,villages_affected,population_affected,crop_loss_ha,deaths,displaced,severity
1,2020,Barpeta,2020-07-14,2020-07-17,8.43,245.11,39,24486,138.31,6,6678,extreme
2,2020,Barpeta,2020-08-28,2020-09-10,9.46,35.05,42,5153,123.23,7,724,extreme
3,2021,Barpeta,2021-09-05,2021-09-13,9.05,448.07,15,18318,867.87,7,5822,high
4,2022,Barpeta,2022-06-26,2022-07-06,9.34,318.5,11,49113,687.97,3,6616,extreme
5,2022,Barpeta,2022-08-16,2022-08-28,7.46,353.35,50,3207,224.55,2,7078,low
6,2022,Barpeta,2022-09-17,2022-09-27,4.55,117.71,16,21214,416.08,7,7571,extreme
7,2023,Barpeta,2023-06-12,2023-06-15,7.73,174.32,30,23370,352.09,2,1576,medium
8,2023,Barpeta,2023-08-26,2023-09-04,8.97,365.42,50,20995,190.31,6,8166,extreme
9,2024,Barpeta,2024-09-14,2024-09-25,9.91,48.18,38,3639,742.29,10,8766,low
10,2025,Barpeta,2025-08-18,2025-08-28,10.35,168.55,7,47006,441.47,6,8845,extreme
11,2020,Bongaigaon,2020-07-28,2020-08-02,4.47,180.86,23,11908,796.64,5,1575,low
12,2021,Bongaigaon,2021-06-18,2021-06-22,10.65,416.69,48,4496,293.8,7,3369,medium
13,2021,Bongaigaon,2021-09-20,2021-10-04,7.61,36.16,43,23591,942.2,7,8487,extreme
14,2021,Bongaigaon,2021-06-07,2021-06-21,10.04,229.59,39,40768,450.47,3,6393,high
15,2022,Bongaigaon,2022-07-11,2022-07-26,3.85,408.23,30,36197,912.8,9,4629,high
16,2022,Bongaigaon,2022-06-24,2022-07-09,9.86,330.15,19,4470,820.53,9,4506,extreme
17,2023,Bongaigaon,2023-09-16,2023-09-25,9.83,375.47,12,26705,890.21,9,548,low
18,2023,Bongaigaon,2023-07-06,2023-07-15,9.32,63.75,11,17728,892.41,6,5696,extreme
19,2024,Bongaigaon,2024-09-18,2024-09-26,3.48,134.79,17,38228,508.2,5,6528,extreme
20,2025,Bongaigaon,2025-09-26,2025-10-06,10.01,459.58,38,42978,886.83,10,1803,extreme
21,2025,Bongaigaon,2025-09-21,2025-09-29,10.89,262.66,27,1448,57.43,1,5571,extreme
22,2025,Bongaigaon,2025-08-08,2025-08-19,4.49,409.26,39,33971,162.51,5,3143,high
23,2020,Cachar,2020-08-19,2020-08-24,8.37,328.08,45,44486,81.55,1,1634,extreme
24,2021,Cachar,2021-08-13,2021-08-19,7.4,36.15,49,8651,905.92,9,6848,high
25,2022,Cachar,2022-08-28,2022-09-12,11.14,314.75,50,27204,774.88,9,3314,high
26,2022,Cachar,2022-08-24,2022-08-28,8.08,315.84,19,12170,974.44,6,1264,low
27,2023,Cachar,2023-08-03,2023-08-10,8.8,432.08,47,5610,351.09,0,5462,low
28,2023,Cachar,2023-07-04,2023-07-09,5.65,419.5,8,4980,873.8,6,4734,high
29,2024,Cachar,2024-07-14,2024-07-20,6.99,282.58,15,17991,404.83,1,7600,high
30,2025,Cachar,2025-08-09,2025-08-13,4.72,44.28,43,35087,355.94,7,4701,high
31,2020,Darrang,2020-08-23,2020-09-06,4.45,272.64,23,44487,798.39,7,9673,medium
32,2020,Darrang,2020-06-22,2020-07-01,8.3,222.45,22,303,432.23,1,2000,low
33,2020,Darrang,2020-06-22,2020-06-28,11.25,155.65,39,12079,755.07,5,3775,high
34,2021,Darrang,2021-09-17,2021-09-21,7.93,212.8,42,37102,292.1,5,7173,low
