district,road_km,railway_km,bridges,schools,hospitals,evacuation_centers
Barpeta,254.16,42.49,34,43,5,10
Bongaigaon,83.74,59.81,10,55,12,16
Cachar,209.77,192.32,18,32,5,3
Darrang,114.71,8.44,24,88,13,22
Dhemaji,149.27,101.67,47,36,5,13
Dhubri,232.74,98.66,50,42,20,19
Dibrugarh,406.37,14.17,29,59,3,7
Goalpara,451.46,96.29,9,46,18,9
Golaghat,101.76,18.34,11,68,8,25
Jorhat,321.49,154.01,16,100,16,5
Kamrup,448.64,179.14,22,60,17,7
Karimganj,311.46,196.35,12,98,4,24
Kokrajhar,456.63,148.28,48,85,10,25
Lakhimpur,479.33,47.46,34,55,12,4
Morigaon,450.84,52.08,46,84,8,10
Nagaon,255.88,176.69,44,39,2,24
Nalbari,266.53,198.88,15,53,19,5
Sivasagar,116.19,85.7,10,48,5,9
Sonitpur,219.0,165.32,10,45,13,19
Tinsukia,197.73,199.59,38,78,9,12
