district,landcover_class,area_km2,percentage,impervious_pct,ndvi
Barpeta,forest,44.45,16.43,14.35,0.01
Barpeta,agriculture,234.67,20.67,19.47,-0.067
Barpeta,urban,198.83,5.35,62.76,0.515
Barpeta,water,117.8,10.89,75.76,0.151
Barpeta,others,99.26,13.76,46.47,-0.054
Bongaigaon,forest,419.5,47.0,11.65,0.789
Bongaigaon,agriculture,64.25,18.36,76.83,0.211
Bongaigaon,urban,195.55,18.07,42.28,0.182
Bongaigaon,water,358.46,29.13,7.84,0.54
Bongaigaon,others,234.92,17.56,7.38,0.601
Cachar,forest,206.16,41.36,40.41,0.784
Cachar,agriculture,196.04,29.25,3.34,0.103
Cachar,urban,135.45,18.26,40.05,0.268
Cachar,water,86.09,6.39,71.85,0.53
Cachar,others,435.86,12.65,61.87,0.126
Darrang,forest,460.48,11.47,41.36,0.741
Darrang,agriculture,218.15,10.6,75.68,0.29
Darrang,urban,305.84,5.4,39.15,0.603
Darrang,water,479.52,46.06,58.69,0.105
Darrang,others,363.37,21.93,24.84,0.617
Dhemaji,forest,91.51,38.41,26.38,0.204
Dhemaji,agriculture,385.3,25.6,54.09,0.306
Dhemaji,urban,110.6,20.24,53.4,0.301
Dhemaji,water,65.98,35.01,25.6,0.589
Dhemaji,others,373.97,49.66,40.01,0.369
Dhubri,forest,38.83,11.46,12.57,0.499
Dhubri,agriculture,329.43,13.13,19.83,0.085
Dhubri,urban,456.58,48.48,5.07,0.05
Dhubri,water,282.29,40.46,15.49,0.323
Dhubri,others,101.76,14.88,58.44,0.236
Dibrugarh,forest,274.59,27.34,34.48,0.472
Dibrugarh,agriculture,13.08,39.95,44.51,0.609
Dibrugarh,urban,60.88,11.53,69.79,0.441
Dibrugarh,water,252.06,47.38,73.58,0.766
Dibrugarh,others,434.19,41.58,40.44,0.672
Goalpara,forest,191.01,28.92,15.86,0.091
Goalpara,agriculture,213.49,25.33,69.01,0.018
Goalpara,urban,333.52,32.56,48.85,-0.002
Goalpara,water,363.18,7.39,69.96,0.738
Goalpara,others,351.09,45.4,77.11,-0.029
Golaghat,forest,26.73,46.18,72.92,0.66
Golaghat,agriculture,488.97,48.55,34.85,-0.051
Golaghat,urban,45.25,13.43,9.23,0.263
Golaghat,water,315.78,10.08,69.86,0.557
Golaghat,others,188.73,21.28,49.25,0.027
Jorhat,forest,488.13,29.78,66.13,0.27
Jorhat,agriculture,243.86,20.53,21.2,0.051
Jorhat,urban,50.96,8.55,5.95,-0.048
Jorhat,water,74.14,16.12,15.33,0.16
Jorhat,others,81.75,33.02,73.45,0.574
Kamrup,forest,55.11,36.92,35.42,0.65
Kamrup,agriculture,256.81,7.97,42.62,-0.047
Kamrup,urban,398.59,40.55,67.12,0.378
Kamrup,water,301.16,47.98,69.03,-0.003
Kamrup,others,166.76,7.27,45.73,0.501
Karimganj,forest,296.19,40.25,2.28,0.405
Karimganj,agriculture,142.78,49.03,36.7,0.731
Karimganj,urban,47.52,49.46,26.03,0.328
Karimganj,water,183.84,46.28,8.68,0.223
Karimganj,others,435.79,29.55,29.9,0.798
Kokrajhar,forest,238.67,43.55,3.71,0.447
Kokrajhar,agriculture,163.64,12.17,7.63,0.768
Kokrajhar,urban,227.76,6.39,75.72,-0.011
Kokrajhar,water,150.07,46.36,61.08,0.538
Kokrajhar,others,219.65,42.15,52.38,0.302
Lakhimpur,forest,392.57,45.65,46.89,0.155
Lakhimpur,agriculture,496.92,41.89,26.7,0.22
Lakhimpur,urban,69.45,36.72,5.23,0.2
Lakhimpur,water,173.31,31.12,25.72,0.14
Lakhimpur,others,197.49,27.16,42.6,0.703
Morigaon,forest,238.31,46.94,32.27,-0.036
Morigaon,agriculture,117.56,16.8,18.11,0.428
Morigaon,urban,389.71,14.2,2.95,0.598
Morigaon,water,192.04,8.58,57.07,0.246
Morigaon,others,388.9,36.09,25.84,0.49
Nagaon,forest,88.61,8.6,34.18,0.285
Nagaon,agriculture,45.71,5.29,50.53,0.317
Nagaon,urban,185.84,23.78,29.27,0.097
Nagaon,water,237.61,9.2,29.2,0.005
Nagaon,others,496.55,24.17,2.0,0.321
Nalbari,forest,323.06,17.47,21.16,0.633
Nalbari,agriculture,399.18,29.96,15.46,0.43
Nalbari,urban,483.7,16.8,78.52,0.233
Nalbari,water,81.13,6.9,12.1,-0.02
Nalbari,others,266.15,22.01,11.92,0.725
Sivasagar,forest,58.43,15.34,66.92,0.131
Sivasagar,agriculture,340.13,19.47,18.83,-0.098
Sivasagar,urban,420.3,29.88,31.39,0.426
Sivasagar,water,325.31,9.75,10.19,0.599
Sivasagar,others,474.61,30.73,24.32,0.478
Sonitpur,forest,286.8,47.95,29.83,0.528
Sonitpur,agriculture,353.92,44.11,43.37,0.689
Sonitpur,urban,251.4,37.89,13.43,0.101
Sonitpur,water,216.71,12.5,35.88,-0.012
Sonitpur,others,100.35,33.99,11.27,0.456
Tinsukia,forest,411.43,31.51,38.23,0.264
Tinsukia,agriculture,315.97,28.12,36.83,0.169
Tinsukia,urban,118.59,48.95,1.05,0.083
Tinsukia,water,368.58,37.49,56.29,0.252
Tinsukia,others,461.17,23.43,19.99,0.755
