district,boats,life_jackets,rescue_teams,medical_units,food_packets,tarpaulins
Barpeta,40,89,4,8,2246,360
Bongaigaon,41,217,6,10,4811,464
Cachar,19,82,10,7,2946,88
Darrang,46,344,2,3,1576,153
Dhemaji,22,451,7,4,2617,240
Dhubri,46,53,3,6,1884,370
Dibrugarh,27,403,6,4,1999,154
Goalpara,14,311,3,9,2009,137
Golaghat,42,286,15,10,4755,442
Jorhat,7,263,14,8,2794,62
Kamrup,47,276,9,7,2395,412
Karimganj,31,336,6,10,2775,241
Kokrajhar,41,488,8,7,4272,220
Lakhimpur,50,139,7,10,2706,451
Morigaon,42,115,6,8,381,371
Nagaon,7,297,4,5,1897,132
Nalbari,44,104,4,6,1613,174
Sivasagar,42,470,2,6,2757,190
Sonitpur,36,56,5,10,962,142
Tinsukia,34,217,9,6,503,341
