river_id,river_name,district,length_km,width_m,depth_m,flow_rate_cms,bank_height_m
1,River_1,Morigaon,295.6,468.2,10.9,708.0,7.1
2,River_2,Dhubri,384.09,274.8,10.6,3113.35,5.9
3,River_3,Goalpara,239.31,374.2,14.2,1783.94,6.7
4,River_4,Dibrugarh,372.57,386.8,6.9,1615.35,2.0
5,River_5,Nagaon,274.08,441.0,3.8,320.6,2.4
6,River_6,Golaghat,281.08,148.3,6.3,4965.6,2.1
7,River_7,Karimganj,297.12,367.7,11.9,182.52,6.9
8,River_8,Kokrajhar,83.48,353.4,10.1,3524.3,5.6
9,River_9,Kamrup,244.64,317.2,7.7,2176.76,3.6
10,River_10,Dhubri,219.2,388.9,6.9,964.56,2.8
11,River_11,Kokrajhar,128.42,250.6,8.6,572.04,7.8
12,River_12,Dhubri,241.82,258.9,4.3,4308.6,2.8
13,River_13,Dibrugarh,69.49,340.5,10.6,4618.79,6.5
14,River_14,Morigaon,85.99,326.1,10.5,2729.09,3.9
15,River_15,Tinsukia,273.63,334.2,3.3,4885.09,2.3
16,River_16,Darrang,191.12,316.2,3.1,2070.3,6.0
17,River_17,Kamrup,349.98,251.0,6.9,2571.47,5.8
18,River_18,Nagaon,432.75,328.4,11.8,754.33,5.9
19,River_19,Kamrup,24.37,461.9,10.8,4568.3,4.8
20,River_20,Goalpara,328.31,235.9,6.6,2936.82,5.7
