district,soil_type,drainage,permeability,field_capacity,saturation_pct
Barpeta,silt,poor,3.32,0.3,52.3
Bongaigaon,sandy,poor,0.8,0.47,73.64
Cachar,loam,well,4.36,0.23,89.28
Darrang,loam,well,2.07,0.24,66.78
Dhemaji,clay,well,3.2,0.46,65.55
Dhubri,loam,well,1.01,0.2,47.77
Dibrugarh,silt,moderate,4.53,0.24,78.36
Goalpara,sandy,moderate,0.1,0.21,50.31
Golaghat,loam,poor,3.6,0.46,79.02
Jorhat,clay,moderate,1.29,0.32,60.22
Kamrup,sandy,moderate,3.92,0.46,44.96
Karimganj,sandy,moderate,2.65,0.32,39.87
Kokrajhar,silt,well,0.45,0.23,73.61
Lakhimpur,sandy,poor,4.86,0.48,71.41
Morigaon,silt,poor,2.4,0.49,39.84
Nagaon,sandy,moderate,1.57,0.41,83.06
Nalbari,sandy,poor,0.27,0.37,30.17
Sivasagar,sandy,well,4.41,0.29,49.61
Sonitpur,clay,poor,4.15,0.42,43.82
Tinsukia,clay,poor,2.45,0.22,77.7
