district,lat,lon,elevation_m,slope_deg,aspect,roughness,flow_accum,stream_order
Barpeta,24.631441,92.176647,101.4,17.3,261.6,0.733,65.7,3
Barpeta,25.173239,92.092928,47.7,29.9,70.2,0.418,59.85,2
Barpeta,26.235388,93.208153,107.0,24.5,178.4,1.661,63.56,4
Barpeta,27.366542,91.115503,86.7,9.7,157.4,1.064,74.13,1
Barpeta,26.08286,93.191456,101.4,15.8,40.7,1.979,54.46,2
Barpeta,27.847567,89.977645,128.4,21.6,80.6,1.33,70.51,1
Barpeta,27.705963,91.019563,93.2,17.2,354.3,1.191,54.88,5
Barpeta,25.902123,91.486387,94.3,26.4,16.5,0.692,51.98,4
Barpeta,27.761071,93.100493,63.4,15.3,179.6,1.508,25.61,2
Barpeta,27.495689,90.806481,39.4,9.5,269.2,0.637,93.79,3
Barpeta,26.738066,90.667199,30.0,20.4,353.8,0.59,71.02,1
Barpeta,25.266442,91.476744,39.7,3.1,148.4,1.982,67.39,1
Barpeta,25.761414,90.615195,42.9,4.8,279.4,1.5,69.58,5
Barpeta,25.345266,92.630894,26.2,24.9,230.1,0.437,61.59,5
Barpeta,25.957192,90.448567,128.1,27.6,217.4,1.813,65.38,2
Barpeta,25.782102,92.216782,71.4,28.5,298.3,1.762,33.31,3
Barpeta,26.812827,92.297521,137.6,29.5,124.0,0.404,59.51,2
Barpeta,24.740731,89.877572,149.8,27.6,299.1,1.199,90.64,1
Barpeta,26.169702,92.335679,79.6,20.3,347.0,0.15,31.07,1
Barpeta,25.181113,93.23797,92.5,2.5,246.7,1.817,43.51,4
Barpeta,26.61152,92.628248,102.0,24.9,112.5,1.03,28.05,3
Barpeta,27.003815,91.571634,89.1,12.9,94.6,1.661,45.14,4
Barpeta,26.77259,92.125798,124.5,1.6,195.9,1.89,20.18,3
Barpeta,26.416771,90.1152,98.2,2.2,280.4,1.982,97.38,2
Barpeta,26.547222,91.69061,17.6,17.2,333.8,1.139,42.53,3
Barpeta,26.53336,91.551859,144.5,15.1,239.0,0.832,11.83,3
Barpeta,27.84683,92.6498,149.1,20.5,83.3,0.884,94.9,5
Barpeta,24.927275,92.858177,103.9,12.3,333.4,0.279,76.84,3
Barpeta,25.365011,89.561029,45.8,2.1,155.5,1.518,92.02,5
Barpeta,25.55712,93.234446,88.1,24.8,164.2,0.197,82.45,5
Barpeta,27.632741,90.965117,79.8,10.6,322.3,0.182,72.9,1
Barpeta,26.510069,92.084311,12.7,10.1,222.1,1.909,49.39,4
Barpeta,27.592748,93.131081,80.0,29.1,231.6,0.283,35.81,2
Barpeta,26.461097,91.153167,64.3,24.1,207.7,0.255,72.86,4
Barpeta,26.429488,90.806618,128.5,10.3,66.8,1.306,85.45,1
Barpeta,26.63765,92.711852,26.3,6.6,96.2,1.309,14.0,4
Barpeta,25.985511,92.454216,137.2,8.4,267.4,0.719,7.23,1
