village_id,village_name,district,lat,lon,population,households,river_distance_km,elevation_m
1,Village_1,Barpeta,24.889659,92.466202,2506,328,3.22,19.2
2,Village_2,Barpeta,27.092337,91.681466,3956,132,1.08,29.7
3,Village_3,Barpeta,26.268744,89.606144,2128,833,13.17,59.0
4,Village_4,Barpeta,25.271542,91.857063,553,877,16.21,72.8
5,Village_5,Barpeta,25.690877,90.121918,3257,204,2.31,18.7
6,Village_6,Barpeta,27.46623,91.914904,855,847,9.46,21.2
7,Village_7,Barpeta,27.728034,89.815201,2901,949,12.76,89.7
8,Village_8,Barpeta,25.765723,90.269154,1069,146,13.39,79.6
9,Village_9,Barpeta,27.948275,92.921271,1327,489,5.92,67.2
10,Village_10,Barpeta,25.776913,90.980724,2216,786,5.71,94.3
11,Village_11,Barpeta,26.768124,91.936524,1901,646,14.72,24.7
12,Village_12,Barpeta,25.828094,93.458093,2299,801,6.82,79.1
13,Village_13,Barpeta,24.695783,92.78721,3084,510,5.72,29.0
14,Village_14,Barpeta,27.800184,93.005471,3077,317,13.28,45.6
15,Village_15,Barpeta,27.700917,91.335407,2669,242,5.31,60.5
16,Village_16,Barpeta,25.419596,91.838344,3771,470,4.78,99.8
17,Village_17,Barpeta,26.283342,89.863638,885,981,2.64,66.5
18,Village_18,Barpeta,27.272278,91.18864,1020,494,7.94,99.7
19,Village_19,Barpeta,26.3519,93.384314,594,796,14.55,71.4
20,Village_20,Barpeta,26.379396,90.567301,3286,214,6.22,24.2
21,Village_21,Bongaigaon,27.838356,93.003412,2657,612,15.36,55.7
22,Village_22,Bongaigaon,24.872438,92.001201,4658,723,4.38,43.7
23,Village_23,Bongaigaon,25.065422,93.313999,4844,100,12.18,54.0
24,Village_24,Bongaigaon,24.891537,90.951923,3019,345,1.63,89.0
25,Village_25,Bongaigaon,27.814323,89.842614,4481,935,1.85,78.5
26,Village_26,Bongaigaon,27.180421,90.013566,4393,662,3.72,57.5
27,Village_27,Bongaigaon,26.623079,93.357452,4917,873,14.73,28.1
28,Village_28,Bongaigaon,25.591007,93.480597,3559,548,18.04,50.6
29,Village_29,Bongaigaon,25.36767,89.756104,672,702,11.3,63.0
30,Village_30,Bongaigaon,24.525168,92.331364,982,334,1.81,12.8
31,Village_31,Cachar,24.748001,90.452019,4476,319,11.02,75.1
32,Village_32,Cachar,27.588341,91.804847,2490,903,9.72,46.6
33,Village_33,Cachar,24.83014,92.135931,3402,533,8.52,87.7
34,Village_34,Cachar,24.689599,92.113822,1306,162,8.35,40.5
35,Village_35,Cachar,27.515854,90.494625,2058,649,9.25,48.0
36,Village_36,Cachar,25.474908,90.499226,1117,553,16.26,87.0
37,Village_37,Cachar,24.842681,92.10858,4928,956,0.79,18.4
38,Village_38,Cachar,27.137479,90.445518,3829,597,9.89,87.8
39,Village_39,Cachar,27.65855,90.158548,517,499,5.67,80.6
40,Village_40,Cachar,26.092529,91.19203,4486,258,4.2,29.6
41,Village_41,Cachar,24.704692,92.442949,999,865,6.62,14.5
42,Village_42,Cachar,26.16876,93.177549,4850,261,1.61,55.7
43,Village_43,Cachar,27.479699,89.774085,1056,791,17.31,46.3
