Feature,XGBoost,RandomForest,LogisticRegression,Average
rainfall_mm,0.09611965,0.08367825636374443,0.13058189037827697,0.10345993215009748
rainfall_cumulative_72hr,0.08570985,0.08513335604372069,0.1305418306802426,0.10046167807794143
rainfall_intensity,0.05439214,0.06854973075731907,0.13053427537805104,0.0844920488313522
danger_ratio,0.0759506,0.0624658922194707,0.0906263170406827,0.07634760315566845
water_level_m,0.05274837,0.05833902453660957,0.09098368933052668,0.0673570282609292
soil_saturation_pct,0.05203017,0.03360082807889626,0.08741859178996658,0.05768319611419446
historical_flood_frequency,0.048819643,0.05535334078771732,0.05886725863358168,0.05434674731176314
soil_permeability,0.04974171,0.05576109523943032,0.056753016499641186,0.054085274402192
slope_deg,0.044828348,0.04883599835698262,0.04275688751248284,0.045473744577077424
elevation_m,0.04468274,0.048889054906668485,0.038854571270754534,0.04414212244752805
temp_c,0.048990287,0.05212259668523253,0.028128212311233372,0.04308036529438599
landcover_impervious_pct,0.04900962,0.05731274442196685,0.018636790505015426,0.04165305202344111
river_distance_km,0.050863214,0.052575962397670616,0.016852678454368487,0.04009728489639529
pressure_hpa,0.050108876,0.05353473146354518,0.016251693828068053,0.03996510045697805
wind_speed_kmph,0.05239282,0.05639641691774412,0.009013724450157922,0.03926765437562919
population,0.04566278,0.049009703677314415,0.018256952816715886,0.0376431452850133
humidity_pct,0.04798158,0.05602802147865224,0.0026687338999814227,0.03555944474511343
river_flow_cms,0.049967635,0.02241324566731456,0.01966848435681317,0.030683121815690922
